聅凝菌戈 - Nぱ礛(2104)(N1NG&)
ら戳,秨絃基,程蔼基,程基,Μ絃基,Θユ秖,ゼキ秖,
20120103,2.969,3.074,2.936,2.993,102323,173289,
20120104,2.978,3.123,2.975,3.096,129714,171072,
20120105,3.122,3.123,2.947,2.980,154388,172208,
20120106,2.960,3.077,2.955,3.062,98903,165717,
20120109,3.011,3.032,2.977,3.011,99296,159476,
20120110,3.014,3.045,2.903,2.941,129317,153311,
20120111,2.923,2.929,2.741,2.774,162228,142115,
20120112,2.761,2.772,2.663,2.697,149127,131663,
20120113,2.705,2.711,2.621,2.670,106463,117956,
20120116,2.569,2.587,2.538,2.550,14497,131663,
20120117,2.550,2.584,2.439,2.488,181533,98784,
20120118,2.485,2.542,2.452,2.472,122148,89567,
20120119,2.482,2.485,2.293,2.322,153531,76826,
20120120,2.306,2.367,2.283,2.343,130508,64134,
20120123,2.270,2.619,2.231,2.525,255812,46412,
20120124,2.577,2.650,2.512,2.554,208366,29324,
20120125,2.572,2.776,2.571,2.729,154618,23637,
20120126,2.760,2.803,2.553,2.605,82816,10359,
20120127,2.595,2.714,2.542,2.692,15523,308476,
20120130,2.810,2.844,2.640,2.713,149052,309231,
20120131,2.689,2.689,2.453,2.503,202931,306591,
20120201,2.465,2.471,2.355,2.382,179926,299595,
20120202,2.375,2.587,2.340,2.554,235360,281557,
20120203,2.558,2.560,2.450,2.499,154834,283806,
20120206,2.503,2.587,2.447,2.550,139713,271751,
20120207,2.574,2.618,2.452,2.472,207528,254975,
20120208,2.492,2.508,2.390,2.448,165743,235110,
20120209,2.444,2.585,2.405,2.477,242968,203870,
20120210,2.481,2.528,2.451,2.477,135205,178955,
20120213,2.438,2.470,2.395,2.431,162829,145738,
20120214,2.441,2.569,2.434,2.532,178678,127045,
20120215,2.550,2.567,2.404,2.425,172604,126708,
20120216,2.436,2.577,2.415,2.567,183882,89249,
20120217,2.556,2.733,2.527,2.684,155006,76002,
20120220,2.659,2.673,2.605,2.615,9488,89249,
20120221,2.619,2.657,2.575,2.626,131745,53916,
20120222,2.637,2.668,2.532,2.643,120599,32424,
20120223,2.664,2.695,2.565,2.621,108515,26067,
20120224,2.613,2.635,2.512,2.550,68679,11863,
20120227,2.523,2.589,2.436,2.460,17680,215781,
20120228,2.598,2.624,2.511,2.519,114711,210836,
20120229,2.539,2.620,2.502,2.616,137109,199913,
20120301,2.593,2.597,2.444,2.463,158731,209023,
20120302,2.472,2.505,2.461,2.484,82530,202293,
20120305,2.404,2.441,2.349,2.355,98919,208490,
20120306,2.355,2.395,2.339,2.356,89275,203769,
20120307,2.341,2.343,2.281,2.302,120087,192155,
20120308,2.305,2.335,2.235,2.272,133549,182151,
20120309,2.297,2.327,2.260,2.324,95373,173583,
20120312,2.272,2.290,2.235,2.269,86208,169155,
20120313,2.270,2.338,2.204,2.299,120483,155117,
20120314,2.329,2.344,2.245,2.284,127334,144956,
20120315,2.275,2.334,2.234,2.279,121282,129080,
20120316,2.266,2.362,2.246,2.326,114900,112483,
20120319,2.320,2.393,2.285,2.351,126234,100676,
20120320,2.339,2.369,2.318,2.335,95044,86603,
20120321,2.329,2.366,2.303,2.360,87094,75214,
20120322,2.342,2.380,2.250,2.269,151727,59148,
20120323,2.266,2.325,2.261,2.275,99556,32849,
20120326,2.286,2.318,2.213,2.226,64545,24550,
