聅凝菌戈 - N淮猳(2104)(N1CL&)
ら戳,秨絃基,程蔼基,程基,Μ絃基,Θユ秖,ゼキ秖,
20120103,99.70,103.18,99.65,102.96,257479,233377,
20120104,102.99,103.74,101.88,103.22,255238,227843,
20120105,103.29,103.73,101.30,101.81,279458,221450,
20120106,101.35,102.80,100.88,101.56,269460,215536,
20120109,101.92,102.15,100.10,101.31,286039,197297,
20120110,101.30,103.41,101.30,102.24,266882,181375,
20120111,102.20,102.46,100.55,100.87,280835,157773,
20120112,101.00,102.98,98.50,99.10,341400,136693,
20120113,99.20,100.19,97.70,98.70,290768,115533,
20120116,98.95,99.80,98.60,99.69,31783,136693,
20120117,99.66,101.01,98.60,100.71,309656,78339,
20120118,100.91,102.06,99.84,100.59,252967,55277,
20120119,101.14,102.06,99.98,100.39,87720,20220,
20120120,100.39,100.74,97.91,98.33,31083,304838,
20120123,98.34,100.24,97.40,99.58,221711,304532,
20120124,99.88,100.18,98.25,98.95,225258,301622,
20120125,99.20,100.40,97.53,99.40,305113,297994,
20120126,99.96,101.39,99.23,99.70,249035,296308,
20120127,99.90,100.63,99.13,99.56,238695,294225,
20120130,100.00,100.05,98.43,98.78,197802,290772,
20120131,98.88,101.29,97.86,98.48,351698,290337,
20120201,98.38,99.49,97.11,97.61,272348,288087,
20120202,97.11,97.99,95.44,96.36,308738,289470,
20120203,96.61,98.03,96.01,97.84,297575,280572,
20120206,97.74,97.75,96.38,96.91,240403,273634,
20120207,97.13,99.13,95.84,98.41,385704,246822,
20120208,98.77,100.09,98.10,98.71,339608,225025,
20120209,99.10,100.18,98.66,99.84,267614,198596,
20120210,99.89,99.89,97.32,98.67,270760,168430,
20120213,99.37,100.91,99.09,100.91,241077,140067,
20120214,100.73,101.84,100.28,100.74,285617,112855,
20120215,100.90,102.54,100.61,101.80,258119,78658,
20120216,101.92,102.69,100.84,102.31,183981,58204,
20120217,102.35,104.14,102.25,103.24,111239,19374,
20120220,104.26,105.44,104.26,104.92,9111,58204,
20120221,104.90,106.25,104.31,106.25,27929,264829,
20120222,106.03,106.72,105.61,106.28,229406,264616,
20120223,105.95,108.74,105.45,107.83,310683,264347,
20120224,108.66,109.95,107.95,109.77,252985,267938,
20120227,109.67,109.77,107.27,108.56,264116,264430,
20120228,107.95,108.79,106.30,106.55,260802,263792,
20120229,106.46,107.43,104.84,107.07,334040,262079,
20120301,106.82,110.55,106.55,108.84,369681,256364,
20120302,108.75,109.03,105.80,106.70,282646,248609,
20120305,106.75,107.42,105.50,106.72,221830,238507,
20120306,107.11,107.34,104.51,104.70,313690,234596,
20120307,104.93,106.55,104.35,106.16,307299,213908,
20120308,106.24,107.20,105.84,106.58,251117,189298,
20120309,106.91,108.20,106.13,107.40,266600,171142,
20120312,107.50,107.56,105.38,106.34,210938,148387,
20120313,106.55,107.35,105.67,106.71,250193,122913,
20120314,106.69,107.02,105.12,105.43,264410,109489,
20120315,105.50,106.18,103.78,105.11,353353,75742,
20120316,105.44,107.34,105.13,107.06,180215,59355,
20120319,107.18,108.24,106.55,108.09,83668,22695,
20120320,107.82,107.91,105.35,106.07,26441,305581,
20120321,106.33,107.64,106.06,107.27,239921,305887,
20120322,106.81,107.12,104.50,105.35,284594,300458,
20120323,105.52,108.25,105.16,106.87,245077,299243,
20120326,106.79,107.32,106.19,107.03,152631,296036,
20120327,107.09,107.73,106.52,107.33,196440,297487,
20120328,106.81,106.94,104.67,105.41,291261,289470,
20120329,105.58,105.70,102.13,102.78,303172,288416,
20120330,103.29,104.15,102.78,103.02,221794,276454,
20120402,103.27,105.49,102.06,105.23,260598,266465,
20120403,105.02,105.18,103.59,104.01,227531,255642,
20120404,104.09,104.12,101.08,101.47,275851,242823,
20120405,101.99,103.40,101.37,103.31,220673,226798,
20120406,103.31,103.31,103.31,103.31,0,225888,
20120409,102.53,102.60,100.81,102.46,182216,212975,
20120410,102.33,102.96,100.68,101.02,283333,193547,
20120411,100.94,103.13,100.84,102.70,254574,170638,
20120412,102.55,104.24,102.39,103.64,239375,147153,
20120413,103.66,103.90,102.61,102.83,195386,127621,
20120416,102.77,103.37,101.80,102.93,263175,104387,
20120417,103.17,105.07,102.66,104.20,222666,71844,
20120418,104.22,104.51,102.19,102.67,177236,45966,
20120419,102.73,103.21,101.67,102.27,62556,17447,
20120420,102.62,104.27,102.45,103.88,23577,287364,
20120423,103.82,103.90,101.82,103.11,199267,286778,
20120424,103.05,104.10,102.79,103.55,181968,278644,
20120425,103.80,104.57,103.11,104.12,263744,287856,
20120426,103.96,104.92,103.84,104.55,178474,281542,
20120427,104.10,105.00,103.74,104.93,160310,278340,
20120430,104.93,105.16,103.88,104.87,191215,277597,
20120501,104.89,106.43,104.39,106.16,230219,279838,
20120502,105.98,106.05,104.91,105.22,244083,262907,
20120503,105.39,105.42,102.36,102.54,301362,262940,
20120504,102.59,102.72,97.51,98.49,423376,259572,
20120507,98.05,98.24,95.34,97.94,276451,249158,
20120508,97.96,98.12,95.52,97.01,303163,226619,
20120509,97.38,97.39,95.17,96.81,300490,201959,
20120510,96.45,97.69,96.08,97.08,251850,179467,
20120511,96.53,97.20,95.56,96.13,228531,160102,
20120514,95.79,95.83,93.65,94.78,230638,150971,
20120515,93.91,95.48,93.02,93.98,258808,140117,
20120516,93.16,94.16,91.81,92.81,286027,127215,
20120517,92.77,93.88,92.09,92.56,256204,86996,
20120518,92.86,92.88,90.93,91.48,190001,55178,
20120521,91.27,93.06,90.84,92.57,72701,16617,
20120522,92.64,93.01,91.41,91.85,21764,311078,
20120523,91.54,91.72,89.28,89.90,263381,312215,
20120524,90.53,91.52,89.81,90.66,216372,307182,
20120525,90.79,91.32,90.20,90.86,137825,301956,
20120528,90.96,91.99,90.86,90.86,23948,307182,
20120529,91.17,92.21,90.25,90.76,250357,294716,
20120530,90.86,90.92,87.27,87.82,281470,293791,
20120531,87.55,88.28,85.86,86.53,325326,285119,
20120601,86.44,86.59,82.29,83.23,384000,279773,
20120604,82.96,84.38,81.21,83.98,287941,278387,
20120605,84.14,84.92,83.31,84.29,223169,279638,
20120606,84.12,86.27,84.03,85.02,289723,261759,
20120607,85.50,87.03,83.43,84.82,303691,239116,
20120608,83.63,84.67,82.00,84.10,276501,211865,
20120611,85.61,86.64,81.11,82.70,304471,188977,
20120612,81.18,83.72,81.07,83.32,294227,166492,
20120613,83.51,84.01,82.15,82.62,288969,139403,
20120614,82.44,84.42,82.27,83.91,261751,116945,
20120615,84.33,84.80,83.42,84.03,199145,82099,
20120618,85.09,85.60,82.04,83.27,202203,61502,
20120619,83.06,84.41,82.28,84.03,76782,24700,
20120620,84.04,84.34,80.91,81.45,26143,296548,
20120621,81.08,81.20,77.93,78.20,364589,302045,
20120622,78.11,80.37,77.56,79.76,277899,296857,
20120625,80.20,80.68,78.03,79.21,238111,292768,
20120626,79.23,79.68,78.36,79.36,241350,295352,
20120627,79.47,80.92,78.68,80.21,240519,287622,
20120628,80.48,80.84,77.28,77.69,295842,288527,
20120629,78.46,85.34,78.28,84.96,417342,280304,
20120702,84.65,85.05,82.10,83.75,273722,268000,
20120703,83.67,88.04,83.33,87.66,319202,264343,
20120704,87.75,87.77,86.50,87.66,33735,268000,
20120705,87.06,88.98,86.50,87.22,349902,243773,
20120706,86.73,87.13,84.02,84.45,269727,230925,
20120709,84.20,86.48,84.00,85.99,230290,214905,
20120710,85.84,85.95,83.65,83.91,261643,194501,
