聅凝菌戈 - RBOB═猳(2104)(N1RB&)
ら戳,秨絃基,程蔼基,程基,Μ絃基,Θユ秖,ゼキ秖,
20120103,2.6647,2.7590,2.6647,2.7486,38454,79453,
20120104,2.7565,2.7891,2.7283,2.7852,47895,78864,
20120105,2.7786,2.7970,2.7300,2.7365,43740,79379,
20120106,2.7365,2.7650,2.7209,2.7516,37820,76784,
20120109,2.7691,2.7740,2.7420,2.7590,40275,77046,
20120110,2.7558,2.7981,2.7533,2.7728,38152,73260,
20120111,2.7860,2.7938,2.7328,2.7633,40842,71240,
20120112,2.7702,2.8245,2.7178,2.7313,42626,69301,
20120113,2.7400,2.7679,2.7192,2.7342,47110,59923,
20120116,2.7488,2.7736,2.7396,2.7725,3390,69301,
20120117,2.7742,2.8081,2.7509,2.7713,39947,53523,
20120118,2.7790,2.8529,2.7676,2.8254,51352,46915,
20120119,2.8291,2.8398,2.7918,2.8158,34944,42593,
20120120,2.8215,2.8300,2.7627,2.7844,22861,38532,
20120123,2.7800,2.8142,2.7731,2.7779,17312,34756,
20120124,2.7831,2.8166,2.7613,2.8050,25841,30432,
20120125,2.8161,2.8597,2.7940,2.8338,26983,24749,
20120126,2.8465,2.8649,2.8324,2.8466,18083,18752,
20120127,2.8474,2.9677,2.8379,2.9268,29716,13626,
20120130,2.9209,2.9209,2.8500,2.8707,17658,5484,
20120131,2.8876,2.9069,2.8749,2.8830,7149,104023,
20120201,2.8973,2.9487,2.8826,2.8922,58383,102067,
20120202,2.8919,2.8986,2.8410,2.8689,54964,100350,
20120203,2.8814,2.9259,2.8718,2.9144,43230,100825,
20120206,2.9150,2.9438,2.8912,2.9279,33696,98044,
20120207,2.9416,2.9541,2.9172,2.9275,50825,95743,
20120208,2.9241,2.9896,2.9181,2.9752,47286,97194,
20120209,2.9857,3.0162,2.9760,3.0128,45172,92278,
20120210,3.0115,3.0150,2.9607,2.9749,49244,86925,
20120213,2.9950,3.0220,2.9880,3.0125,45199,77971,
20120214,3.0096,3.0181,2.9733,2.9825,54145,68872,
20120215,2.9901,3.0366,2.9839,3.0067,51288,64115,
20120216,3.0067,3.0514,2.9867,3.0471,41754,59778,
