聅凝菌戈 - チ刽(CNY)
ら戳,秨絃基,程蔼基,程基,Μ絃基,芥基,
19940103,8.6783,8.6783,8.6783,8.6783,8.6783,
19940517,8.6789,8.6789,8.6390,8.6390,8.6390,
19940518,8.6391,8.6391,8.6391,8.6391,8.6391,
19940519,8.6391,8.6391,8.6389,8.6389,8.6389,
19940523,8.6412,8.6412,8.6412,8.6412,8.6412,
19940524,8.6412,8.6414,8.6412,8.6414,8.6414,
19940601,8.6414,8.6486,8.6414,8.6486,8.6486,
19940602,8.6400,8.6400,8.6400,8.6400,8.6400,
19940720,8.6400,8.6400,8.6400,8.6400,8.6400,
19940721,8.6400,8.6400,8.6400,8.6400,8.6400,
19940722,8.6400,8.6400,8.6400,8.6400,8.6400,
19940726,8.6400,8.6400,8.6400,8.6400,8.6400,
19940808,8.6023,8.6023,8.6023,8.6023,8.6023,
19940812,8.6512,8.6512,8.6023,8.6023,8.6023,
19940824,8.6023,8.6023,8.6023,8.6023,8.6023,
19940826,8.6512,8.6512,8.6023,8.6023,8.6023,
19940919,8.6512,8.6512,8.6023,8.6512,8.6512,
19940920,8.6512,8.6512,8.6512,8.6512,8.6512,
19950315,8.4080,8.4080,8.4080,8.4080,8.4080,
19950316,8.4080,8.4089,8.4080,8.4089,8.4089,
19950317,8.4095,8.4095,8.4095,8.4095,8.4095,
19950320,8.4088,8.4088,8.4088,8.4088,8.4088,
19950321,8.4088,8.4088,8.4085,8.4085,8.4085,
19950322,8.4077,8.4077,8.4077,8.4077,8.4077,
19950323,8.4077,8.4083,8.4077,8.4083,8.4083,
19950324,8.4087,8.4087,8.4087,8.4087,8.4087,
19950328,8.4092,8.4092,8.4092,8.4092,8.4092,
19950330,8.4090,8.4090,8.4090,8.4090,8.4090,
19950331,8.4090,8.4090,8.4084,8.4084,8.4084,
19950405,8.4090,8.4090,8.4084,8.4084,8.4084,
19950406,8.4071,8.4071,8.4071,8.4071,8.4071,
19950407,8.4071,8.4071,8.4067,8.4067,8.4067,
19950412,8.4065,8.4065,8.4065,8.4065,8.4065,
19950413,8.4065,8.4065,8.4061,8.4061,8.4061,
19950418,8.4053,8.4053,8.4053,8.4053,8.4053,
19950419,8.4053,8.4053,8.4051,8.4051,8.4051,
19950420,8.4049,8.4049,8.4049,8.4049,8.4049,
19950421,8.4049,8.4049,8.4047,8.4047,8.4047,
19950526,8.2858,8.2858,8.2858,8.2858,8.2858,
19950529,8.2855,8.2855,8.2855,8.2855,8.2855,
19950530,8.2855,8.2878,8.2855,8.2878,8.2878,
19950531,8.2869,8.2869,8.2869,8.2869,8.2869,
19950601,8.2869,8.2869,8.2847,8.2847,8.2847,
19950602,8.2869,8.2869,8.2847,8.2847,8.2847,
19950605,8.2810,8.2810,8.2810,8.2810,8.2810,
19950606,8.2810,8.2810,8.2791,8.2791,8.2791,
19950607,8.2796,8.2796,8.2796,8.2796,8.2796,
19950608,8.2796,8.2796,8.2776,8.2776,8.2776,
19950609,8.2759,8.2759,8.2759,8.2759,8.2759,
19950613,8.2759,8.2759,8.2759,8.2759,8.2759,
