聅凝菌戈 - ドμ(2105)(B1C&)
ら戳,秨絃基,程蔼基,程基,Μ絃基,Θユ秖,ゼキ秖,
19960318,391,394,386,393 2/4,14130,18210,
19960319,394,399,392 3/4,398 1/4,20755,10410,
19960320,401,401,393 2/4,396 2/4,189895,950690,
19960321,387 1/4,388 2/4,384 3/4,387 3/4,113110,940340,
19960322,387 2/4,391,387 2/4,390,164745,935485,
19960325,390,394 1/4,389 2/4,393 2/4,180025,920580,
19960326,393,398 2/4,393,397 2/4,220825,908500,
19960327,396 1/4,400,395,399 1/4,174540,907755,
19960328,398 2/4,399 3/4,398,399 1/4,181555,891670,
19960329,399,410 2/4,399,409,310060,865795,
19960401,409,417 2/4,408,416 2/4,274375,848715,
19960402,416 2/4,419 2/4,413 2/4,414 1/4,290025,810220,
19960403,414,425,410 2/4,424 1/4,258100,780150,
19960404,423,428 1/4,420,426 2/4,180220,757070,
19960408,426 2/4,437 3/4,426,435 3/4,153690,720170,
19960409,435,438 2/4,430 3/4,435,137295,697045,
19960410,435,446 2/4,435,444 2/4,179530,669670,
19960411,444,455 1/4,439 2/4,444 2/4,209720,643325,
19960412,445,453,439,451,164845,612560,
19960415,451 2/4,459,446 2/4,455 2/4,139160,575625,
19960416,452 2/4,457,443 2/4,444 2/4,179090,557840,
19960417,442 2/4,450,436,448 2/4,159970,527520,
19960418,448 2/4,460 2/4,448 2/4,460 2/4,169015,467765,
19960419,465,466,457,458,176900,430520,
19960422,460 1/4,470,457,470,110790,372595,
19960423,473,479,469 2/4,478 2/4,147390,312250,
19960424,479,488,471,487,101560,275435,
19960425,487,499,486 1/4,499,83720,239245,
19960426,499 3/4,509,495,507 2/4,172035,175085,
19960429,507,507,473,473 3/4,190490,110910,
19960430,470,485 3/4,460,462 2/4,70425,89875,
19960501,466,489,464,488,42100,73065,
19960502,490,507,475,476 3/4,37235,59705,
19960503,472,480 2/4,468,471,25800,46445,
19960506,468,479 2/4,462 2/4,472 2/4,13065,41995,
19960507,470,485 2/4,470,485 1/4,15000,37675,
19960508,485 2/4,502 2/4,485 2/4,500 3/4,11610,36000,
19960509,502 3/4,510 2/4,498 2/4,508,11820,30695,
19960510,507 1/4,509,502,506,6525,26960,
19960513,504 2/4,518,504 2/4,515,9680,22925,
19960514,508 1/4,510 2/4,495 2/4,505,18665,15955,
19960515,496 3/4,512 3/4,496 2/4,500 2/4,13515,11050,
19960516,501,518 2/4,501,517 1/4,5050,8125,
19960517,518 2/4,532,518 2/4,528 3/4,2485,6965,
19960520,526 1/4,538,505,529,4285,5150,
19960521,528,536,520,524 2/4,191385,783245,
19960522,501,502,484,486 2/4,275165,747655,
19960523,488,494,483,493 1/4,151640,725115,
19960524,493,494,487,488 3/4,96630,714870,
