聅凝菌戈 - 风(CHF)
ら戳,秨絃基,程蔼基,程基,Μ絃基,芥基,
19870908,1.4861,1.4880,1.4819,1.4861,0.0000,
19870909,1.4861,1.4965,1.4825,1.4929,0.0000,
19870910,1.4934,1.4985,1.4914,1.4934,0.0000,
19870911,1.4940,1.5010,1.4799,1.4979,0.0000,
19870914,1.4974,1.5130,1.4940,1.5094,0.0000,
19870915,1.5089,1.5135,1.4999,1.5010,0.0000,
19870916,1.5010,1.5110,1.5006,1.5060,0.0000,
19870917,1.5060,1.5094,1.5035,1.5060,0.0000,
19870918,1.5085,1.5089,1.4945,1.4970,0.0000,
19870921,1.4974,1.5060,1.4965,1.5010,0.0000,
19870922,1.5010,1.5110,1.5006,1.5110,0.0000,
19870923,1.5105,1.5169,1.5094,1.5124,0.0000,
19870924,1.5124,1.5130,1.5069,1.5085,0.0000,
19870925,1.5085,1.5135,1.5064,1.5119,0.0000,
19870928,1.5149,1.5195,1.5130,1.5165,0.0000,
19870929,1.5174,1.5325,1.5169,1.5309,0.0000,
19870930,1.5320,1.5394,1.5229,1.5370,0.0000,
19871001,1.5375,1.5415,1.5309,1.5313,0.0000,
19871002,1.5309,1.5398,1.5290,1.5398,0.0000,
19871005,1.5410,1.5415,1.5325,1.5335,0.0000,
19871006,1.5335,1.5349,1.5264,1.5309,0.0000,
19871007,1.5304,1.5304,1.5216,1.5220,0.0000,
19871008,1.5220,1.5229,1.5089,1.5140,0.0000,
19871009,1.5135,1.5144,1.4999,1.5024,0.0000,
19871012,1.5019,1.5085,1.5010,1.5030,0.0000,
19871013,1.5030,1.5135,1.4999,1.5119,0.0000,
19871014,1.5124,1.5144,1.4949,1.4961,0.0000,
19871015,1.4961,1.4985,1.4861,1.4909,0.0000,
19871016,1.4914,1.4965,1.4880,1.4885,0.0000,
19871019,1.4775,1.4880,1.4654,1.4880,0.0000,
19871020,1.4909,1.5098,1.4861,1.5039,0.0000,
19871021,1.5044,1.5130,1.4970,1.5114,0.0000,
19871022,1.5110,1.5124,1.4961,1.5080,0.0000,
19871023,1.5076,1.5076,1.4669,1.4710,0.0000,
19871026,1.4710,1.4775,1.4570,1.4660,0.0000,
19871027,1.4664,1.4675,1.4440,1.4499,0.0000,
19871028,1.4505,1.4549,1.4279,1.4349,0.0000,
19871029,1.4345,1.4419,1.4249,1.4394,0.0000,
19871030,1.4390,1.4430,1.4265,1.4300,0.0000,
19871102,1.4279,1.4279,1.4120,1.4144,0.0000,
19871103,1.4144,1.4200,1.4039,1.4174,0.0000,
19871104,1.4170,1.4184,1.4039,1.4050,0.0000,
19871105,1.4050,1.4050,1.3659,1.3795,0.0000,
19871106,1.3785,1.3865,1.3724,1.3749,0.0000,
19871109,1.3749,1.3795,1.3620,1.3650,0.0000,
19871110,1.3644,1.3749,1.3515,1.3664,0.0000,
19871111,1.3670,1.3779,1.3629,1.3749,0.0000,
19871112,1.3740,1.3989,1.3715,1.3894,0.0000,
19871113,1.3885,1.3970,1.3865,1.3875,0.0000,
