聅凝菌戈 - じ计(YDX)
ら戳,秨絃基,程蔼基,程基,Μ絃基,Θユ秖,Θユ肂,
20120102,80.282,80.390,80.147,80.178,0,0.0,
20120103,80.231,80.276,79.518,79.611,0,0.0,
20120104,79.660,80.499,79.553,80.129,0,0.0,
20120105,80.146,81.016,80.090,80.936,0,0.0,
20120106,80.903,81.376,80.781,81.254,0,0.0,
20120109,81.400,81.470,80.927,81.051,0,0.0,
20120110,80.924,81.079,80.715,80.805,0,0.0,
20120111,80.997,81.493,80.820,81.351,0,0.0,
20120112,81.239,81.364,80.696,80.770,0,0.0,
20120113,80.831,81.784,80.534,81.515,0,0.0,
20120116,81.697,81.702,81.323,81.515,0,0.0,
20120117,81.423,81.459,80.770,81.182,0,0.0,
20120118,81.086,81.121,80.473,80.609,0,0.0,
20120119,80.484,80.587,80.041,80.216,0,0.0,
20120120,80.095,80.438,79.999,80.156,0,0.0,
20120123,80.409,80.409,79.602,79.783,0,0.0,
20120124,79.754,80.184,79.643,79.806,0,0.0,
20120125,79.799,80.355,79.381,79.579,0,0.0,
20120126,79.497,79.540,79.067,79.401,0,0.0,
20120127,79.459,79.532,78.772,78.902,0,0.0,
20120130,78.803,79.457,78.803,79.167,0,0.0,
20120131,79.127,79.489,78.741,79.288,0,0.0,
20120201,79.321,79.571,78.623,78.922,0,0.0,
20120202,78.839,79.203,78.719,78.991,0,0.0,
20120203,79.010,79.357,78.745,78.924,0,0.0,
20120206,79.066,79.516,78.984,79.069,0,0.0,
20120207,79.081,79.265,78.488,78.576,0,0.0,
20120208,78.581,78.808,78.433,78.641,0,0.0,
20120209,78.675,78.781,78.364,78.566,0,0.0,
20120210,78.644,79.198,78.574,79.114,0,0.0,
20120213,78.918,79.155,78.608,78.946,0,0.0,
20120214,79.133,79.639,78.947,79.580,0,0.0,
20120215,79.411,79.738,79.098,79.670,0,0.0,
20120216,79.746,80.119,79.271,79.348,0,0.0,
20120217,79.395,79.483,79.150,79.331,0,0.0,
20120220,79.224,79.331,78.812,79.331,0,0.0,
20120221,79.136,79.264,78.797,79.044,0,0.0,
20120222,79.107,79.380,78.999,79.211,0,0.0,
20120223,79.206,79.288,78.600,78.819,0,0.0,
20120224,78.642,78.773,78.220,78.352,0,0.0,
20120227,78.383,78.678,78.370,78.568,0,0.0,
20120228,78.477,78.607,78.189,78.273,0,0.0,
20120229,78.184,78.871,78.095,78.737,0,0.0,
20120301,78.774,78.934,78.630,78.789,0,0.0,
20120302,78.765,79.451,78.717,79.403,0,0.0,
20120305,79.460,79.575,79.237,79.300,0,0.0,
20120306,79.316,79.867,79.294,79.866,0,0.0,
20120307,79.784,79.921,79.579,79.712,0,0.0,
20120308,79.750,79.779,79.070,79.139,0,0.0,
20120309,79.179,80.061,79.158,80.041,0,0.0,
20120312,80.060,80.132,79.828,79.890,0,0.0,
20120313,79.854,80.320,79.674,80.193,0,0.0,
