聅凝菌戈 - 独(2103)(O1GC&)
ら戳,秨絃基,程蔼基,程基,Μ絃基,Θユ秖,ゼキ秖,
20120103,1568.90,1604.30,1566.00,1603.60,229,39,
20120104,1596.60,1618.60,1594.50,1613.90,172,54,
20120105,1610.80,1624.10,1597.80,1619.40,362,49,
20120106,1622.50,1627.80,1616.10,1616.10,20,23,
20120109,1614.30,1620.10,1607.80,1607.80,8,16,
20120110,1619.90,1638.00,1619.90,1637.10,47,30,
20120111,1634.80,1645.40,1633.80,1643.60,65,30,
20120112,1645.20,1656.10,1645.20,1647.40,84,35,
20120113,1638.90,1643.40,1630.40,1630.40,368,71,
20120116,1643.70,1645.70,1642.10,1645.20,10,35,
20120117,1651.90,1657.80,1650.70,1657.80,16,31,
20120118,1654.00,1660.30,1654.00,1660.30,11,16,
20120119,1663.00,1664.40,1653.50,1653.50,58,53,
20120120,1652.80,1664.30,1652.80,1663.70,8,42,
20120123,1676.90,1680.00,1669.90,1678.00,10,14,
20120124,1666.90,1668.20,1664.40,1668.20,5,11,
20120125,1673.00,1706.20,1672.00,1706.20,239,62,
20120126,1729.00,1729.00,1721.00,1726.30,226656,75705,
20120127,1727.00,1734.10,1727.00,1732.00,175023,29103,
20120130,1737.20,1739.90,1715.70,1731.00,53427,7300,
20120131,1731.70,1747.70,1725.00,1737.80,7540,3458,
20120201,1738.20,1751.10,1734.00,1747.10,2027,1783,
20120202,1745.10,1761.10,1742.90,1756.80,2062,1201,
20120203,1758.70,1761.30,1724.50,1737.90,543,1083,
20120206,1728.00,1738.30,1713.30,1722.80,726,1063,
20120207,1722.00,1748.00,1713.20,1746.40,272,814,
20120208,1744.00,1751.50,1728.20,1729.30,955,818,
20120209,1731.40,1749.70,1726.10,1739.00,119,786,
20120210,1732.70,1734.40,1706.40,1723.30,248,538,
20120213,1725.00,1733.00,1718.40,1723.00,104,493,
20120214,1720.00,1724.90,1715.00,1715.90,94,452,
20120215,1723.60,1737.00,1723.60,1726.30,110,385,
20120216,1718.40,1728.40,1707.00,1726.80,38,376,
20120217,1733.60,1735.10,1718.80,1724.50,80,346,
20120220,1736.10,1736.10,1733.60,1733.70,6,0,
20120221,1740.90,1760.00,1737.50,1757.10,115,300,
20120222,1758.70,1781.90,1750.00,1770.00,161,208,
20120223,1774.00,1786.00,1773.00,1778.30,298,259,
20120224,1778.50,1780.70,1771.30,1775.10,1251,662,
20120227,1773.60,1775.60,1768.10,1775.00,841,581,
20120228,1767.90,1789.40,1767.90,1787.00,306,507,
20120229,1789.90,1790.40,1669.00,1709.90,359,271,
20120301,1698.60,1724.60,1698.60,1721.10,214,230,
20120302,1723.00,1723.00,1705.20,1708.80,135,186,
20120305,1705.50,1709.50,1695.40,1703.00,421,147,
20120306,1708.70,1708.70,1666.00,1673.10,176,159,
20120307,1676.00,1684.00,1673.10,1684.00,39,49,
20120308,1686.40,1702.40,1686.40,1695.30,301,289,
20120309,1698.80,1710.90,1680.70,1710.90,73,127,
20120312,1708.10,1708.10,1694.90,1700.30,98,74,
20120313,1698.40,1698.40,1685.10,1697.00,47,66,
20120314,1676.90,1681.00,1637.40,1639.20,201,70,
20120315,1646.30,1660.20,1640.00,1660.10,405,213,
20120316,1660.00,1661.40,1641.30,1655.50,317,127,
20120319,1661.20,1668.00,1652.10,1666.90,462,73,
20120320,1648.10,1652.30,1642.00,1646.70,250,49,
20120321,1657.80,1660.00,1646.10,1652.10,546,166,
20120322,1648.00,1649.40,1633.80,1642.30,321,124,
20120323,1652.50,1665.10,1646.30,1662.30,76,53,
20120326,1665.00,1692.90,1657.80,1685.50,84,39,
20120327,1687.80,1690.80,1684.40,1686.70,175344,68524,
20120328,1670.10,1670.10,1665.00,1665.00,193107,28546,
20120329,1661.80,1664.50,1644.30,1652.20,47342,9004,
20120330,1660.60,1670.00,1659.00,1669.30,9825,5991,
20120402,1670.40,1682.80,1662.00,1677.50,2531,4664,
20120403,1677.60,1679.50,1638.70,1670.00,1165,4378,
20120404,1646.50,1647.00,1612.30,1612.30,1122,4252,
20120405,1620.80,1633.20,1620.40,1628.50,289,3340,
20120409,1645.30,1646.40,1636.50,1640.80,158,3304,
20120410,1649.00,1661.70,1636.20,1659.50,350,3255,
20120411,1654.80,1659.70,1654.70,1659.00,426,3185,
20120412,1660.00,1680.10,1650.00,1679.50,1309,2861,
20120413,1673.30,1674.80,1650.00,1659.10,220,1691,
20120416,1650.80,1656.80,1641.20,1648.70,717,1415,
20120417,1652.00,1652.90,1637.00,1650.30,69,586,
20120418,1653.20,1653.30,1638.10,1638.80,273,501,
20120419,1642.10,1653.10,1632.00,1639.40,77,329,
20120420,1641.70,1645.60,1640.90,1642.10,54,279,
20120423,1642.40,1642.40,1625.10,1631.90,226,264,
20120424,1634.40,1648.60,1634.40,1643.00,123,128,
20120425,1641.30,1643.80,1626.90,1641.40,367,580,
20120426,1658.30,1658.70,1658.30,1658.50,280,481,
20120427,1654.50,1666.90,1654.00,1664.00,236,386,
20120430,1663.00,1665.70,1653.00,1665.70,36,88,
20120501,1665.00,1670.50,1661.70,1661.70,25,81,
20120502,1659.20,1659.20,1648.30,1653.40,50,78,
20120503,1651.20,1652.20,1631.30,1634.20,78,73,
20120504,1635.70,1645.60,1629.40,1644.70,68,65,
20120507,1637.90,1640.00,1632.60,1638.10,21,64,
20120508,1636.70,1636.70,1596.00,1599.80,154,173,
20120509,1595.30,1595.30,1586.30,1594.20,30,146,
20120510,1594.20,1594.40,1592.40,1594.40,6,36,
20120511,1586.10,1589.60,1583.60,1583.60,6,36,
20120514,1563.00,1563.10,1555.50,1561.90,5,35,
20120515,1555.40,1558.30,1542.40,1556.80,28,22,
20120516,1541.40,1541.40,1528.50,1535.80,26,34,
20120517,1546.90,1579.00,1546.90,1574.80,51,57,
20120518,1573.70,1591.60,1568.20,1591.60,26,34,
20120521,1591.90,1594.10,1591.90,1592.50,32,44,
20120522,1575.70,1578.10,1568.40,1568.40,27,49,
20120523,1538.20,1538.20,1534.40,1537.00,6,7,
20120524,1559.00,1569.40,1551.50,1557.30,23,14,
20120525,1558.20,1568.80,1557.30,1568.80,157335,93277,
20120528,1574.70,1582.50,1568.80,1568.80,5,14,
20120530,1553.90,1569.00,1530.40,1563.40,79887,9171,
20120531,1562.70,1572.60,1551.80,1562.60,5901,5878,
20120601,1560.00,1630.00,1545.50,1620.50,2820,2903,
20120604,1623.00,1627.90,1609.00,1612.20,2134,2190,
20120605,1619.30,1622.70,1612.90,1615.20,604,1846,
20120606,1619.70,1639.70,1616.50,1632.80,419,1826,
20120607,1622.60,1627.20,1581.90,1586.60,1200,1420,
20120608,1589.90,1593.90,1566.50,1590.10,157,1349,
20120611,1608.00,1608.00,1583.00,1595.50,129,1298,
20120612,1594.10,1612.80,1588.50,1612.70,523,999,
20120613,1608.20,1622.40,1608.20,1618.10,655,1167,
20120614,1621.20,1626.40,1610.10,1618.40,493,879,
20120615,1624.30,1630.00,1621.50,1627.00,1015,1370,
20120618,1622.60,1627.60,1615.00,1625.70,246,1177,
20120619,1629.80,1630.70,1622.00,1623.20,32,688,
20120620,1618.30,1618.30,1601.30,1614.80,140,666,
20120621,1603.20,1603.30,1565.50,1568.70,29,622,
20120622,1565.50,1568.40,1560.00,1566.00,16,602,
20120625,1574.90,1587.50,1571.00,1587.50,32,56,
20120626,1583.50,1583.50,1567.70,1573.60,817,887,
20120627,1567.00,1571.60,1563.00,1571.60,220,735,
20120628,1573.70,1573.70,1548.40,1549.70,133,694,
20120629,1562.60,1603.50,1561.90,1603.50,61,67,
20120702,1597.10,1598.30,1589.70,1598.00,35,42,
20120703,1603.80,1624.00,1603.80,1621.30,44,36,
20120704,1618.50,1621.30,1614.50,1621.30,17,42,
